pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad,st_mass,sy_dist
Kepler-320 c,1.37,2.45,1002.0,17.934937,6435.0,1.108,1.072,826.613
Kepler-27 b,4.0,2895.31,610.0,15.3348,5400.0,0.59,0.65,1044.36
Kepler-1718 b,2.5685207,7.12,345.0,135.1880035,5731.0,0.906,0.846,375.522
Kepler-634 b,1.89,4.23,1309.0,5.16950177,6075.0,1.24,1.03,888.027
Kepler-82 b,4.07,12.15,562.0,26.44,5401.0,0.898,0.91,904.326
Kepler-1086 c,2.94,8.96,211.0,161.5163345,4350.0,0.66,0.7,466.084
Kepler-808 b,1.46,2.73,1322.0,0.631332353,4653.0,0.71,0.76,321.0
GJ 724 b,3.27,10.75,611.0,5.101284,3799.0,0.52226,0.5271,16.9658
47 UMa b,13.2,804.08,,1078.0,5872.0,1.21334,1.06,13.7967
HD 147379 b,4.94,21.6,,86.58,4090.0,0.628304,0.58,10.7643
HD 173416 b,13.4,585.12209729,,322.03,4683.0,13.5,2.0,132.184
75 Cet c,13.9,289.85950718,,2051.62,4809.0,10.38,1.92,82.9613
HD 2952 b,13.9,284.77425267,,312.08,4853.0,10.9,1.91,110.103
CT Cha b,24.66,5403.0,2600.0,,4403.0,1.679694,,190.72
BD+48 738 b,13.9,289.2253,,392.6,4414.0,11.0,0.74,871.493
BD+49 828 b,13.5,508.5,,2590.0,4943.0,7.6,1.52,442.042
CoRoT-16 b,13.11,170.032,,5.35227,5650.0,1.19,1.098,732.409
TOI-216.02,8.0,18.75187601,628.0,17.16073,5026.0,0.748,0.77,177.945
DS Tuc A b,5.7,413.179,850.0,8.138268,5428.0,0.964,1.01,44.0622
GJ 1252 b,1.193,1.32,1089.0,0.5182331,3458.0,0.391,0.381,20.373
TOI-470 b,4.34,17.4,660.0,12.19148,5190.0,0.831,0.87,130.46
TOI-4010 e,13.3,692.0,174.0,762.0,4960.0,0.83,0.88,177.504
BD-06 1339 c,8.38,53.0,,125.94,4324.0,0.686355,0.7,20.2695
